size width length distance label
0.0533 0.1087 0.23 1.71 1.0
0.0015 0.0523 0.1314 1.982 1.0
0.0028 0.0569 0.1542 1.998 1.0
0.0662 0.105 0.2749 1.674 1.0
0.2316 0.1223 0.3421 1.409 1.0
0.0625 0.1012 0.27 1.656 1.0
0.0081 0.0735 0.22 1.945 1.0
0.1137 0.1161 0.3205 1.619 1.0
0.0003 0.0362 0.0576 2.3 1.0
0.0021 0.0617 0.1991 2.511 1.0
0.0068 0.072 0.2284 2.099 1.0
0.0435 0.0914 0.2616 1.685 1.0
0.0003 0.0514 0.0559 2.045 1.0
0.0118 0.0768 0.2039 1.789 1.0
0.0351 0.0955 0.3263 2.048 1.0
0.0019 0.0658 0.1274 1.964 1.0
0.1055 0.1108 0.3613 1.729 1.0
0.0104 0.0784 0.2944 2.18 1.0
0.0012 0.0541 0.1284 1.95 1.0
0.0175 0.0861 0.2293 1.791 1.0
0.0067 0.0791 0.2691 2.322 1.0
0.0003 0.0443 0.0574 1.966 1.0
0.001 0.0623 0.0898 1.927 1.0
0.3218 0.1192 0.37 1.315 1.0
0.0106 0.0831 0.2297 2.168 1.0
0.0029 0.0698 0.1265 1.904 1.0
0.0508 0.105 0.3525 2.038 1.0
0.0002 0.028 0.0504 2.147 1.0
0.0092 0.0802 0.1848 1.977 1.0
0.0461 0.0984 0.2394 1.691 1.0
0.0294 0.0878 0.2951 1.808 1.0
0.0096 0.0721 0.2239 1.786 1.0
0.0227 0.086 0.3441 2.017 1.0
0.0366 0.0891 0.2907 1.678 1.0
0.2388 0.115 0.3557 1.261 1.0
0.0091 0.0722 0.2157 1.782 1.0
0.0764 0.1015 0.3465 1.616 1.0
0.6615 0.1593 0.4054 0.984 1.0
0.0328 0.0875 0.281 1.63 1.0
0.1233 0.1057 0.3236 1.431 1.0
0.017 0.0868 0.1855 1.825 1.0
0.0583 0.1085 0.2406 1.676 1.0
0.6926 0.1368 0.3407 1.12 1.0
0.0011 0.0466 0.1427 2.3 1.0
0.0017 0.0556 0.1779 2.602 1.0
0.0012 0.0525 0.1381 2.585 1.0
0.0064 0.0727 0.1394 1.874 1.0
0.023 0.0851 0.2169 1.886 1.0
0.0395 0.1001 0.3274 2.073 1.0
0.0311 0.0917 0.3233 1.754 1.0
0.0598 0.0975 0.2972 1.542 1.0
0.1931 0.117 0.4286 1.413 1.0
0.045 0.0965 0.2804 1.605 1.0
0.0465 0.0978 0.3793 1.869 1.0
0.0471 0.0982 0.3259 1.705 1.0
0.0031 0.0552 0.21 1.9 1.0
0.0193 0.0819 0.2664 1.746 1.0
0.0048 0.0704 0.1828 1.83 1.0
0.0148 0.0856 0.3226 2.088 1.0
0.0004 0.0293 0.0715 2.378 1.0
0.0168 0.0837 0.3374 2.042 1.0
0.0009 0.0531 0.1247 2.194 1.0
0.0068 0.07 0.2367 1.908 1.0
0.0027 0.0621 0.2208 1.806 1.0
0.0011 0.0584 0.1293 2.238 1.0
0.0007 0.0378 0.144 2.265 1.0
0.0013 0.058 0.149 2.187 1.0
0.0035 0.0633 0.1781 1.912 1.0
0.0255 0.0891 0.3214 1.847 1.0
0.1105 0.2809 0.4037 1.355 1.0
0.0015 0.0948 0.1606 2.396 1.0
0.0007 0.0592 0.07 1.803 1.0
0.0854 0.1779 0.4284 1.51 1.0
0.0018 0.0967 0.1884 2.285 1.0
0.0579 0.1619 0.3175 1.468 1.0
0.0114 0.1781 0.245 1.697 1.0
0.0008 0.0729 0.165 1.985 1.0
0.0034 0.1611 0.2282 1.867 1.0
0.016 0.0878 0.2586 2.034 1.0
0.0061 0.0684 0.1576 1.884 1.0
0.0198 0.0852 0.249 1.928 1.0
0.0029 0.0676 0.1213 1.908 1.0
0.099 0.1109 0.2959 1.556 1.0
0.7363 0.1565 0.407 1.144 1.0
0.3191 0.1196 0.3762 1.257 1.0
0.0125 0.0813 0.2747 2.181 1.0
0.0006 0.045 0.0692 2.354 1.0
0.0002 0.035 0.0516 2.09 1.0
0.0013 0.0476 0.0997 1.916 1.0
0.0054 0.0648 0.1877 2.325 1.0
0.011 0.0828 0.2633 1.755 1.0
0.0013 0.0601 0.1304 1.957 1.0
0.0249 0.097 0.3946 2.016 1.0
0.0011 0.0449 0.1443 1.894 1.0
0.0077 0.0733 0.3022 1.96 1.0
0.001 0.0406 0.1393 1.967 1.0
0.1128 0.1267 0.4909 1.732 1.0
0.0289 0.096 0.2298 1.727 1.0
0.7691 0.1491 0.4297 1.227 1.0
0.0758 0.1094 0.3656 1.849 1.0
0.0007 0.0474 0.1041 1.941 1.0
0.2235 0.1161 0.3555 1.41 1.0
0.0305 0.0963 0.2542 1.736 1.0
0.0048 0.0649 0.2053 1.82 1.0
0.1926 0.1146 0.3795 1.35 1.0
0.0048 0.0727 0.2728 2.303 1.0
0.0202 0.0795 0.2524 1.701 1.0
0.5561 0.1274 0.3688 1.006 1.0
0.1131 0.1077 0.3154 1.46 1.0
0.0444 0.0988 0.3427 1.813 1.0
0.216 0.1153 0.3817 1.319 1.0
0.192 0.1131 0.3657 1.349 1.0
0.0063 0.0691 0.2017 1.764 1.0
0.0429 0.0904 0.2789 1.601 1.0
0.0749 0.1154 0.3206 1.914 1.0
0.0033 0.0664 0.1492 1.909 1.0
0.0004 0.0248 0.0796 2.279 1.0
0.0008 0.0501 0.0957 2.426 1.0
0.0009 0.0423 0.1005 2.66 1.0
0.0085 0.0724 0.169 1.94 1.0
0.0008 0.047 0.0998 1.987 1.0
0.0011 0.0562 0.1171 2.171 1.0
0.0373 0.0898 0.2652 1.599 1.0
0.0018 0.0552 0.1392 1.872 1.0
0.0039 0.063 0.1914 2.082 1.0
0.0027 0.0685 0.1878 2.427 1.0
0.0193 0.0816 0.2524 1.738 1.0
0.0049 0.0683 0.2288 2.075 1.0
0.0024 0.0675 0.137 1.986 1.0
0.0023 0.0617 0.133 1.888 1.0
0.0084 0.072 0.2357 1.934 1.0
0.0107 0.0782 0.2365 1.924 1.0
0.054 0.0916 0.2992 1.622 1.0
0.0412 0.0963 0.3511 1.933 1.0
0.0145 0.0817 0.2883 2.107 1.0
0.0252 0.0861 0.2441 1.695 1.0
0.0008 0.0566 0.1154 1.971 1.0
0.5989 0.1435 0.3431 0.961 1.0
0.5975 0.1439 0.3772 1.005 1.0
0.0223 0.0907 0.2885 1.912 1.0
0.0033 0.0562 0.1851 1.889 1.0
0.0064 0.0968 0.1323 1.885 1.0
0.0211 0.0868 0.2112 2.078 1.0
0.0008 0.0493 0.1195 2.233 1.0
0.008 0.0693 0.1429 1.87 1.0
0.0348 0.0937 0.2048 1.859 1.0
0.0288 0.093 0.2637 2.161 1.0
0.0096 0.0851 0.1961 2.102 1.0
0.001 0.0625 0.0797 2.0 1.0
0.0109 0.0809 0.1893 2.081 1.0
0.0056 0.0793 0.15 1.876 1.0
0.0053 0.0788 0.2341 2.492 1.0
0.028 0.0962 0.2482 1.695 1.0
0.0333 0.0911 0.2741 1.655 1.0
0.0059 0.0739 0.2336 2.175 1.0
0.0017 0.0596 0.1712 2.42 1.0
0.0158 0.0828 0.2367 1.779 1.0
0.0252 0.0854 0.2586 1.694 1.0
0.0001 0.0275 0.0429 1.888 1.0
0.0118 0.0805 0.3053 2.221 1.0
0.0022 0.0589 0.1809 2.062 1.0
0.0008 0.0451 0.1543 2.594 1.0
0.0116 0.0766 0.2264 1.751 1.0
0.0642 0.105 0.3517 1.741 1.0
0.0454 0.0897 0.3194 1.714 1.0
0.0015 0.0604 0.1307 1.882 1.0
0.0087 0.0786 0.243 1.974 1.0
0.1093 0.1091 0.3383 1.512 1.0
0.0037 0.0741 0.1417 2.268 1.0
0.2411 0.139 0.3774 1.667 1.0
0.2397 0.1295 0.3212 1.54 1.0
0.0196 0.09 0.2071 1.95 1.0
0.0089 0.0797 0.1813 2.16 1.0
0.0185 0.1012 0.2136 1.811 1.0
0.2321 0.1393 0.3759 1.483 1.0
0.0006 0.0429 0.0885 2.148 1.0
0.0069 0.0811 0.2143 2.134 1.0
0.0061 0.0731 0.2095 1.788 1.0
0.015 0.082 0.2351 1.801 1.0
0.0015 0.0624 0.1438 1.879 1.0
0.0092 0.0822 0.2093 1.773 1.0
0.0098 0.0783 0.3056 2.178 1.0
0.0225 0.0923 0.3553 2.051 1.0
0.0064 0.0698 0.2579 2.152 1.0
0.0025 0.0676 0.1452 1.868 1.0
0.0039 0.0702 0.1877 2.069 1.0
0.0012 0.061 0.1289 2.084 1.0
0.0055 0.0635 0.1927 1.997 1.0
0.059 0.096 0.3095 1.692 1.0
0.0037 0.0639 0.1751 1.852 1.0
0.0049 0.0673 0.1946 2.045 1.0
0.0012 0.0547 0.1142 1.93 1.0
0.0617 0.0991 0.3449 1.782 1.0
0.0115 0.08 0.2567 2.206 1.0
0.0063 0.0783 0.2337 2.314 1.0
0.0046 0.0731 0.1682 1.818 1.0
0.0005 0.0441 0.0755 1.986 1.0
0.0043 0.0639 0.216 2.322 1.0
0.8452 0.2533 0.4141 0.838 1.0
0.0218 0.0846 0.2837 1.942 1.0
0.0101 0.0774 0.2888 2.289 1.0
0.1189 0.1157 0.3945 1.652 1.0
0.0043 0.0678 0.2044 2.163 1.0
0.001 0.0556 0.1235 1.964 1.0
0.0006 0.0446 0.118 2.16 1.0
0.5064 0.1251 0.3675 1.096 1.0
0.0072 0.076 0.1522 1.859 1.0
0.0841 0.1063 0.2785 1.615 1.0
0.0006 0.0426 0.1127 1.917 1.0
0.0036 0.0641 0.141 1.882 1.0
0.2516 0.13 0.45 1.557 1.0
0.0414 0.0927 0.2376 1.663 1.0
0.0528 0.1012 0.3667 1.972 1.0
0.046 0.0968 0.2352 1.681 1.0
0.0013 0.0519 0.1579 2.152 1.0
0.0599 0.1045 0.254 1.653 1.0
0.5387 0.1278 0.3603 1.137 1.0
0.3178 0.1233 0.4211 1.344 1.0
0.0046 0.0649 0.238 2.461 1.0
0.0077 0.0761 0.2499 2.398 1.0
0.0019 0.063 0.1195 2.069 1.0
0.0168 0.0849 0.2043 1.78 1.0
0.0334 0.0933 0.3389 2.052 1.0
0.0043 0.0667 0.192 2.276 1.0
0.0154 0.0831 0.2127 1.817 1.0
0.0064 0.0697 0.2544 2.379 1.0
0.0945 0.1064 0.2926 1.548 1.0
0.1779 0.119 0.353 1.457 1.0
0.0098 0.0791 0.175 1.811 1.0
0.0015 0.0555 0.1447 2.205 1.0
0.0016 0.0603 0.1431 1.888 1.0
0.0614 0.0979 0.2897 1.646 1.0
0.0464 0.0941 0.2874 1.733 1.0
0.042 0.0941 0.3224 1.709 1.0
0.0312 0.098 0.3739 2.0 1.0
0.0869 0.1143 0.4397 1.808 1.0
0.1852 0.1203 0.4455 1.531 1.0
0.0064 0.0715 0.2085 1.767 1.0
0.0012 0.0508 0.1566 1.931 1.0
0.0037 0.0656 0.2488 2.256 1.0
0.0025 0.0602 0.1928 1.763 1.0
0.0012 0.0476 0.1364 1.935 1.0
0.0023 0.0622 0.1929 1.875 1.0
0.0018 0.062 0.1588 2.136 1.0
0.0155 0.0825 0.3189 2.127 1.0
0.0961 0.1032 0.3114 1.639 1.0
0.126 0.1103 0.3081 1.564 1.0
0.0021 0.0674 0.1845 2.082 1.0
0.0201 0.0919 0.229 1.84 1.0
0.6751 0.1461 0.405 1.186 1.0
0.0074 0.081 0.1551 2.156 1.0
0.4322 0.1486 0.4745 1.621 1.0
0.007 0.0741 0.2007 2.547 1.0
0.0045 0.0817 0.1146 1.961 1.0
0.0023 0.0671 0.0963 2.05 1.0
0.0004 0.0306 0.076 2.02 1.0
0.2008 0.1377 0.2914 1.625 1.0
0.0036 0.0625 0.1769 2.011 1.0
0.0607 0.0956 0.3435 1.682 1.0
0.0027 0.0657 0.1855 2.039 1.0
0.0042 0.0677 0.1761 1.945 1.0
0.0013 0.051 0.1767 2.169 1.0
0.0874 0.1115 0.3639 1.648 1.0
0.1056 0.1076 0.3474 1.487 1.0
0.0399 0.0887 0.2761 1.65 1.0
0.0739 0.1015 0.3489 1.644 1.0
0.374 0.1152 0.3794 1.109 1.0
0.6583 0.1482 0.3738 1.057 1.0
0.0015 0.0521 0.1695 2.358 1.0
0.0791 0.1091 0.3685 1.682 1.0
0.0182 0.0845 0.2661 1.886 1.0
0.0019 0.0541 0.2137 2.367 1.0
0.0203 0.0796 0.2465 1.799 1.0
0.0005 0.0357 0.0985 2.35 1.0
0.0958 0.1078 0.3254 1.524 1.0
0.0005 0.0467 0.0801 1.951 1.0
0.0033 0.066 0.1618 1.891 1.0
0.001 0.0471 0.166 2.153 1.0
0.0011 0.0565 0.1215 1.918 1.0
0.0118 0.0792 0.2804 2.127 1.0
0.3105 0.1304 0.3845 1.302 1.0
0.0101 0.0796 0.3047 2.233 1.0
0.0009 0.0523 0.1175 2.112 1.0
0.0112 0.0817 0.2328 1.816 1.0
0.1054 0.1101 0.3139 1.546 1.0
0.0019 0.0628 0.1995 2.473 1.0
0.5455 0.126 0.3519 1.07 1.0
0.014 0.077 0.2063 1.778 1.0
0.2919 0.1142 0.3698 1.222 1.0
0.0005 0.04 0.0844 2.132 1.0
0.0127 0.0799 0.2328 1.865 1.0
0.0159 0.0789 0.2215 1.725 1.0
0.06 0.0959 0.294 1.601 1.0
0.5474 0.1274 0.3612 1.075 1.0
0.0035 0.0673 0.1572 1.843 1.0
0.0027 0.0614 0.1636 1.89 1.0
0.0082 0.0737 0.2526 2.193 1.0
0.0059 0.0738 0.1847 1.851 1.0
0.0004 0.0287 0.1009 2.531 1.0
0.1049 0.1065 0.3053 1.505 1.0
0.0041 0.0687 0.2207 2.198 1.0
0.0063 0.08 0.2026 1.982 1.0
0.08 0.1074 0.388 1.798 1.0
0.0051 0.0759 0.2198 2.145 1.0
0.0803 0.1094 0.3831 1.7 1.0
0.0747 0.0953 0.3293 1.574 1.0
0.0079 0.0754 0.2662 2.111 1.0
0.0701 0.1015 0.3651 1.677 1.0
0.0009 0.0428 0.1189 2.082 1.0
0.0019 0.0619 0.1364 1.905 1.0
0.001 0.0549 0.0935 1.966 1.0
0.0081 0.0741 0.3013 2.246 1.0
0.0071 0.0713 0.1963 1.833 1.0
0.0287 0.0852 0.3311 1.806 1.0
0.0078 0.0717 0.2649 1.891 1.0
0.1815 0.1195 0.4241 1.524 1.0
0.3555 0.1311 0.4952 1.38 1.0
0.0027 0.0582 0.2561 2.249 1.0
0.0003 0.0338 0.0564 1.98 1.0
0.0028 0.0638 0.1989 1.955 1.0
0.0019 0.0588 0.2418 2.338 1.0
0.0324 0.0897 0.275 1.776 1.0
0.714 0.1552 0.3749 1.071 1.0
0.0451 0.0963 0.3582 1.929 1.0
0.0005 0.0404 0.1034 1.945 1.0
0.0003 0.0348 0.0818 2.393 1.0
0.0428 0.096 0.3048 1.76 1.0
0.0005 0.0459 0.0815 2.169 1.0
0.772 0.1859 0.3787 0.968 1.0
0.1417 0.1095 0.3891 1.539 1.0
0.0082 0.0753 0.2011 1.915 1.0
0.002 0.0605 0.167 2.055 1.0
0.001 0.0475 0.1263 1.918 1.0
0.0035 0.0683 0.2495 2.363 1.0
0.0184 0.0825 0.2586 1.877 1.0
0.0053 0.0718 0.1877 1.912 1.0
0.1145 0.1091 0.3738 1.601 1.0
0.0269 0.0936 0.2509 1.727 1.0
0.0164 0.0845 0.2259 1.836 1.0
0.0033 0.0742 0.1618 1.87 1.0
0.0011 0.0639 0.0954 1.949 1.0
0.0038 0.0678 0.2227 2.341 1.0
0.0344 0.0873 0.2682 1.691 1.0
0.0948 0.1052 0.3078 1.488 1.0
0.0633 0.1003 0.3458 1.738 1.0
0.0003 0.0373 0.0632 2.091 1.0
0.0004 0.0293 0.0965 2.45 1.0
0.0018 0.0629 0.1267 1.884 1.0
0.6374 0.1412 0.4269 1.224 1.0
0.2431 0.1265 0.3352 1.398 1.0
0.0006 0.0449 0.0796 2.21 1.0
0.0017 0.0672 0.1361 1.968 1.0
0.0158 0.0761 0.2218 1.77 1.0
0.0031 0.0645 0.1428 1.999 1.0
0.0007 0.0501 0.0851 1.99 1.0
0.2132 0.1155 0.3571 1.329 1.0
0.1985 0.118 0.3999 1.442 1.0
0.0693 0.1029 0.375 1.744 1.0
0.0276 0.0907 0.274 1.82 1.0
0.004 0.0614 0.1764 2.052 1.0
0.0237 0.0895 0.2721 1.819 1.0
0.2068 0.1186 0.3965 1.425 1.0
0.0761 0.1138 0.3677 1.716 1.0
0.0236 0.087 0.3061 1.975 1.0
0.3302 0.1205 0.3952 1.247 1.0
0.0035 0.0727 0.1784 1.909 1.0
0.0259 0.0897 0.2531 1.732 1.0
0.0006 0.0489 0.0804 1.975 1.0
0.0129 0.0823 0.2056 1.765 1.0
0.0068 0.0718 0.1871 1.913 1.0
0.0055 0.0724 0.1547 1.851 1.0
0.0008 0.049 0.0852 1.914 1.0
0.1108 0.1124 0.3485 1.647 1.0
0.0156 0.0789 0.199 1.769 1.0
0.0003 0.0 0.0597 2.016 1.0
0.0033 0.0687 0.1591 1.862 1.0
0.0008 0.0449 0.0967 1.929 1.0
0.0035 0.0657 0.224 2.445 1.0
0.0008 0.0499 0.1821 1.994 1.0
0.0035 0.0768 0.1539 2.135 1.0
0.3278 0.1223 0.4307 1.361 1.0
0.0002 0.0308 0.0554 1.947 1.0
0.0141 0.0843 0.2556 2.094 1.0
0.007 0.09 0.2336 2.068 1.0
0.0013 0.0573 0.1415 2.535 1.0
0.1417 0.113 0.3526 1.489 1.0
0.001 0.0509 0.1295 2.026 1.0
0.0199 0.1652 0.3077 2.128 1.0
0.008 0.1153 0.2598 2.273 1.0
0.0484 0.1006 0.255 1.641 1.0
0.014 0.1242 0.2887 2.104 1.0
0.1775 0.113 0.3399 1.327 1.0
0.0479 0.0981 0.3026 1.777 1.0
0.0011 0.0608 0.1295 2.249 1.0
0.0019 0.0597 0.1602 1.885 1.0
0.0031 0.0585 0.2729 2.323 1.0
0.0004 0.0351 0.0826 2.025 1.0
0.7506 0.1673 0.3641 0.952 1.0
0.0026 0.0641 0.1464 1.876 1.0
0.082 0.108 0.3838 1.767 1.0
0.0334 0.0883 0.2845 1.738 1.0
0.0017 0.0528 0.2252 2.515 1.0
0.6622 0.1433 0.3484 1.072 1.0
0.0017 0.0683 0.1346 2.103 1.0
0.0079 0.0751 0.178 1.843 1.0
0.3116 0.1223 0.4002 1.328 1.0
0.1142 0.1103 0.3482 1.571 1.0
0.0027 0.0634 0.1717 2.045 1.0
0.0004 0.0445 0.1026 2.037 1.0
0.0014 0.0421 0.2196 2.423 1.0
0.001 0.0517 0.1081 2.001 1.0
0.004 0.0634 0.2096 2.039 1.0
0.023 0.0846 0.288 1.886 1.0
0.0005 0.0452 0.1878 2.31 1.0
0.6404 0.1673 0.3945 0.926 1.0
0.6446 0.295 0.3928 0.452 1.0
0.0046 0.0679 0.2232 1.937 1.0
0.0397 0.0942 0.3354 1.84 1.0
0.1027 0.1038 0.3594 1.533 1.0
0.0292 0.0879 0.2973 1.853 1.0
0.0436 0.0995 0.3137 1.755 1.0
0.0096 0.0712 0.2192 1.759 1.0
0.0012 0.0574 0.1178 1.896 1.0
0.2156 0.119 0.4094 1.403 1.0
0.1352 0.1133 0.3788 1.537 1.0
0.0954 0.1069 0.3854 1.674 1.0
0.0228 0.0849 0.2749 1.814 1.0
0.5421 0.1282 0.3457 1.061 1.0
0.0031 0.0605 0.2223 2.387 1.0
0.6652 0.1543 0.4639 1.108 1.0
0.0125 0.0755 0.2253 1.748 1.0
0.0899 0.1037 0.3339 1.533 1.0
0.0043 0.0677 0.1875 2.086 1.0
0.0255 0.0867 0.2526 1.765 1.0
0.0021 0.063 0.1422 1.925 1.0
0.0492 0.0972 0.2678 1.578 1.0
0.1984 0.1143 0.4031 1.356 1.0
0.1617 0.1168 0.3267 1.468 1.0
0.0069 0.0704 0.1862 1.852 1.0
0.0146 0.0841 0.2586 2.064 1.0
0.0063 0.0736 0.1942 1.984 1.0
0.0045 0.0625 0.2684 1.817 1.0
0.0564 0.0987 0.2809 1.661 1.0
0.0157 0.0839 0.2649 2.017 1.0
0.0354 0.09 0.2575 1.716 1.0
0.0006 0.0424 0.1885 2.287 1.0
0.0076 0.0705 0.305 2.025 1.0
0.005 0.0732 0.2384 2.373 1.0
0.2858 0.1257 0.4299 1.336 1.0
0.7465 0.2114 0.4038 0.817 1.0
0.0665 0.0977 0.3251 1.687 1.0
0.0168 0.083 0.2073 1.752 1.0
0.0171 0.086 0.2568 2.002 1.0
0.0461 0.1015 0.3593 1.949 1.0
0.0566 0.1021 0.3201 1.772 1.0
0.0153 0.0849 0.2454 1.995 1.0
0.0049 0.0708 0.2148 2.233 1.0
0.0511 0.1 0.3439 1.754 1.0
0.0003 0.0507 0.0526 2.02 1.0
0.0382 0.0957 0.3363 1.866 1.0
0.0326 0.0922 0.2787 1.714 1.0
0.0067 0.0674 0.2492 2.0 1.0
0.0022 0.0605 0.1692 2.087 1.0
0.0016 0.0491 0.1485 1.978 1.0
